,Ag,DM,EBV,chi2,dec,field,hmag,objid,period,ra,score_2
11,0.275,15.015,1.426,11.897,60.62168,109+00,12.604,11573740868948302205,1.33144,343.91461,0.314157098532
12,0.5,14.665,1.011,25.494,60.32795,109+00,12.067,11591737675271745937,1.44362,343.54296,0.603541612625
13,0.653,15.533,1.004,25.889,60.78115,109+00,13.155,11591772859643119765,1.25434,344.61756,0.280997216702
14,0.454,14.601,0.685,26.531,60.89033,109+00,11.688,11591790451828495669,1.69259,344.93282,0.508556067944
15,0.418,14.278,1.774,10.688,61.27347,109+00,9.936,11591825636200553255,5.43585,345.84401,0.95176333189
16,0.948,13.92,1.947,18.073,59.09534,109+00,10.174,11609664112849958094,3.69648,341.57157,0.994349658489
17,0.611,14.896,1.868,2.26,60.47686,109+00,12.526,11627836841034181162,1.01768,345.35686,0.460750848055
18,1.156,18.666,1.116,54.459,58.30875,109+00,13.161,11753849669670161241,6.86858,344.04445,0.417344272137
19,1.017,14.625,1.087,15.394,58.98334,109+00,10.611,11753902446228266666,3.77092,345.39837,0.995004117489
20,0.561,18.435,0.609,61.476,58.19448,109+00,13.936,11807928049570747969,3.93657,345.11385,0.586791396141
21,0.974,18.956,0.986,49.909,58.82184,109+00,13.326,11807998418314717764,8.85702,346.8268,0.48738232255
22,0.727,15.643,1.184,8.935,58.17696,109+00,10.847,11825960040265767458,6.03252,345.42383,0.952190518379
0,0.363,14.593,2.127,17.186,2.42923,034+00,12.042,12036661652520045763,2.03774,282.9715,0.664246618748
1,0.752,15.566,1.727,56.481,0.82604,034+00,12.526,12072532119865473722,1.63246,281.72903,0.283961445093
2,0.32,14.365,1.754,6.34,0.48599,034+00,12.37,12108560916885237231,1.06536,282.10727,0.358714818954
3,0.486,15.319,1.867,19.734,0.57171,034+00,12.749,12108560916885237507,1.33832,282.08423,0.828345298767
4,0.859,14.852,1.475,33.379,0.70466,034+00,12.091,12108578509071281836,1.21074,282.26484,0.945953726768
5,0.85,14.749,1.345,46.677,0.58088,034+00,10.782,12180688879667203509,2.62045,283.41792,0.649137198925
6,0.564,14.719,1.38,12.759,1.24512,034+00,11.5,12180759248409482544,2.01732,284.21524,0.594871997833
7,0.613,12.009,2.571,7.079,-0.33517,034+00,10.063,12198597725060355329,1.32422,282.63652,0.716705679893
8,1.632,13.296,2.563,21.898,-0.57721,034+00,9.876,12216612123570821045,3.92624,282.74883,0.989371061325
9,0.488,12.169,3.316,13.079,1.37523,034+00,8.667,12216840821988029229,4.16296,285.15301,0.967055737972
10,0.539,16.503,1.258,17.34,-0.2871,034+00,12.015,12234679298636992452,5.02684,283.65141,0.434775948524
11,0.892,15.494,1.681,2.42,-0.38529,034+00,11.561,12252711289332682018,4.69412,283.83013,0.97767239809
0,0.441,17.856,0.425,19.436,14.40745,191-12,14.061,11075371830494754434,3.50438,82.28043,0.365689218044
1,0.495,18.7,0.769,27.89,13.68219,191-12,14.988,11075442199238952433,3.32142,82.94129,0.535442054272
2,0.514,14.58,2.258,87.964,12.91249,191-12,12.195,11111523772816063247,1.32915,83.14749,0.27232336998
3,1.119,15.335,0.792,101.007,12.61458,191-12,10.728,11147552569835015389,3.14204,82.6508,0.656114041805
4,0.471,16.629,1.955,10.314,12.56165,191-12,12.495,11147552569835015484,5.28797,82.71537,0.432774931192
5,0.359,18.255,0.489,28.5,13.83574,191-12,14.824,11219399057640588608,2.30597,79.83632,0.293158173561
6,0.825,15.452,1.771,95.056,11.86152,191-12,13.221,11219627756059134045,0.99679,82.32888,0.325655162334
0,0.753,20.422,0.345,20.238,35.80959,160-12,14.866,10965104008368240990,10.24919,61.47489,0.75367462635
1,0.432,19.131,0.59,39.976,35.77753,160-12,15.886,10983100814691676195,1.64234,61.10633,0.492441087961
0,0.439,16.26,0.503,13.643,52.51045,109-08,11.785,12348360004855061907,4.3519,347.45227,0.741632640362
0,0.277,15.774,1.44,13.98,-7.06813,025+12,13.09,6253054568558144014,1.57983,265.3133,0.619730591774
1,1.493,16.858,0.839,26.032,-6.61168,025+12,14.282,6253107345116913391,1.48459,264.92985,0.480712711811
2,0.423,14.955,1.388,9.725,-6.21207,025+12,10.281,6271156927998492771,7.35386,264.75255,0.958976864815
3,0.565,16.558,0.796,6.377,-6.58269,025+12,13.401,6307097764086188606,1.91814,265.99767,0.308565169573
4,0.945,16.669,1.339,16.35,-6.07569,025+12,14.359,6307150540645362121,1.52834,265.52096,0.681391775608
5,0.441,14.085,1.448,6.873,-6.73505,025+12,11.846,6325076978223566278,1.01067,266.49929,0.432689756155
6,1.7,20.669,0.426,37.087,-5.87901,025+12,14.732,6325182531340370178,17.14486,265.4677,0.735157430172
7,0.446,14.238,0.796,27.415,-5.12501,025+12,12.071,6325270492270735988,1.21997,264.63981,0.514107644558
8,0.874,15.649,0.839,21.236,-5.66616,025+12,13.222,6343196929849608341,1.13717,265.49288,0.324128687382
9,0.541,17.343,0.589,5.239,-6.89198,025+12,14.465,6361052998684132901,1.50006,267.21715,0.40106472373
10,0.771,17.742,0.721,10.169,-6.20721,025+12,14.429,6361140959614897024,2.24697,266.51755,0.420095235109
11,0.638,15.762,0.674,53.502,-5.54132,025+12,12.697,6361211328359087056,2.45177,265.7869,0.904887080193
12,0.52,14.393,1.4,14.363,-5.08918,025+12,10.714,6361264104917405792,2.66431,265.35513,0.597729623318
13,0.861,17.36,0.667,11.35,-4.42455,025+12,14.512,6397328086308778551,1.48671,265.27911,0.387677192688
14,0.978,16.628,0.753,6.257,-4.60044,025+12,14.186,6415307300445848460,1.21166,265.6615,0.408249020576
15,0.771,16.621,0.719,13.475,-5.28078,025+12,13.155,6487224156995283967,2.9368,267.92414,0.443878561258
16,1.188,18.895,0.549,38.321,-5.08747,025+12,13.612,6487241749181348585,12.10682,267.69771,0.38635635376
17,0.573,19.212,0.639,10.44,-4.41791,025+12,15.296,6487329710111653368,3.01038,266.79818,0.309865802526
18,0.814,19.07,0.748,76.54,-4.31538,025+12,15.221,6505326516435087439,3.3915,267.22496,0.738112509251
19,1.034,16.906,0.532,14.578,-3.9818,025+12,12.6,6505361700807949492,4.00628,266.86591,0.781611502171
20,0.746,15.444,0.827,13.802,-4.62428,025+12,13.213,6523288138386377098,1.16603,267.72782,0.377362757921
0,0.456,15.36,1.793,3.65,15.05203,049+00,12.149,11569290045879284008,2.84097,288.53326,0.967025279999
1,0.995,16.302,1.487,25.472,14.47767,049+00,11.485,11605283658525781234,7.84555,288.56647,0.701749801636
2,0.67,14.697,0.901,9.075,15.08706,049+00,12.053,11605354027268914692,1.27535,289.17066,0.90075135231
3,0.702,16.349,1.762,17.149,14.17134,049+00,10.535,11623280464848053090,20.26205,288.33867,0.926530480385
4,0.437,14.738,2.016,7.91,14.3286,049+00,13.027,11623298057035264471,0.99819,288.63567,0.485579639673
5,0.268,13.836,1.481,6.832,14.83343,049+00,12.068,11641400416474082956,0.99981,289.71313,0.47004583478
6,0.702,14.195,1.437,25.094,15.21584,049+00,12.357,11659467591542055249,1.01209,290.32559,0.284875959158
7,0.388,13.114,1.968,3.179,13.27239,049+00,9.37,11677288476005557682,4.72174,288.62638,0.891323208809
8,1.175,13.658,2.749,14.813,14.0235,049+00,8.357,11677358844748851834,18.79928,289.38961,0.993511140347
9,0.453,14.414,2.297,5.596,15.50577,049+00,12.683,11677534766609703742,1.23279,291.18617,0.68098628521
10,0.348,14.157,1.334,20.111,13.19442,049+00,10.605,11695302874514044059,2.98529,288.73063,0.980331480503
11,0.658,14.571,1.98,58.455,13.55353,049+00,12.902,11695338058886143345,1.10698,289.06309,0.641205370426
12,0.369,12.244,2.452,4.94,14.37238,049+00,9.495,11731490001207659282,2.55943,290.72179,0.6439499259
13,0.955,12.672,2.941,5.117,15.47263,049+00,9.148,11731613146510046229,4.94602,291.94166,0.97623705864
14,0.623,12.715,2.953,7.535,13.25005,049+00,9.147,11749398846600830189,6.01459,289.85175,0.978646099567
15,0.827,21.71,1.1,87.194,14.0921,049+00,13.64,11749504399719867317,80.81848,290.92317,0.389692366123
0,0.49,15.111,1.474,4.399,64.19913,124+00,11.564,11268463664518847658,2.99266,16.96479,0.825081706047
1,0.694,14.321,0.628,28.523,63.46802,124+00,11.763,11268534033263052126,1.26172,18.90594,0.563322901726
2,1.614,15.046,1.652,10.081,64.41243,124+00,11.576,11286442878656688016,2.81875,15.82406,0.999365270138
3,0.504,16.903,1.534,12.363,63.5646,124+00,14.213,11286513247400465670,1.66916,18.09412,0.257763773203
4,0.464,17.078,1.33,39.042,63.12511,124+00,13.609,11304562830282051458,3.42588,18.70764,0.742149412632
5,0.414,19.443,0.475,11.646,64.30819,124+00,13.245,11322436491303603988,20.60515,14.58444,0.360956221819
6,0.301,13.558,1.536,2.298,62.74689,124+00,10.559,11340591627301022499,2.31554,18.6555,0.978544712067
7,0.548,14.739,1.426,1.699,62.54519,124+00,12.408,11340609219487066980,1.0771,19.10466,0.422656565905
8,0.817,17.882,0.3,31.368,64.24862,124+00,13.045,11376444502460214395,6.41439,13.2677,0.275359094143
9,0.425,17.299,0.236,14.544,63.05797,124+00,12.388,11394546861898751559,6.48395,15.64924,0.318497002125
10,0.367,14.398,1.085,3.035,64.16981,124+00,10.469,11412438115107072511,3.90094,12.06674,0.944890022278
11,0.592,14.415,0.888,10.826,63.15645,124+00,10.923,11430540474545989859,2.4889,14.38548,0.985125184059
12,0.469,14.179,0.961,2.014,63.1598,124+00,11.652,11466534087192653475,1.29195,13.24131,0.286705374718
13,0.698,15.13,0.997,12.003,62.02549,124+00,11.843,11466639640309449960,2.16362,16.32602,0.819419205189
14,0.972,18.44,0.68,29.969,63.06463,124+00,14.221,11484530893516173761,5.18211,12.56004,0.401897221804
15,0.445,15.251,1.226,4.057,62.55485,124+00,10.815,11484583670074839259,5.63486,14.17082,0.983345091343
16,0.87,15.874,1.14,5.95,61.71543,124+00,13.243,11502650845142423304,1.28487,15.5166,0.560035049915
17,0.56,16.002,1.43,5.059,62.00696,124+00,13.18,11574602886063381961,1.75013,12.37348,0.299244642258
18,0.892,13.876,2.136,30.421,62.03771,124+00,10.152,11592599692386553593,3.05288,11.78267,0.583095252514
0,0.976,18.024,1.097,24.718,60.58798,146+08,14.83,10045015086059453199,1.99884,64.29804,0.296633720398
1,0.584,18.752,0.599,47.036,60.01641,146+08,13.713,10099058281587733955,9.4838,62.98023,0.278848141432
2,0.396,17.014,1.463,6.79,61.91031,146+08,13.429,9900917490169695661,2.66654,67.84399,0.316612571478
3,0.433,18.42,0.695,13.059,60.80562,146+08,14.846,9937016655932579081,2.94479,67.37915,0.369544029236
4,0.861,15.222,0.733,15.435,62.33802,146+08,12.25,9972869531091163425,1.88798,64.86558,0.662673830986
0,0.434,15.309,0.807,7.09,17.47594,049+12,12.174,11172850133368577396,1.93772,283.39392,0.532143294811
1,0.845,17.247,1.061,16.311,18.17205,049+12,10.226,11172938094298025681,36.71729,284.15459,0.437780052423
2,0.507,14.874,0.665,16.75,18.87472,049+12,12.049,11173008463042283549,1.50198,284.8878,0.512514591217
3,1.205,12.039,1.896,50.478,18.57667,049+12,10.056,11245101241452048796,0.99545,286.11146,0.41274651885
4,0.691,12.671,1.748,18.273,16.87662,049+12,10.581,11262939718100200632,1.05262,284.38709,0.366628557444
5,0.403,19.387,1.048,15.308,15.7416,049+12,13.092,11334944535580180710,23.43654,284.49802,0.456410109997
6,0.769,17.067,1.807,34.355,16.84409,049+12,9.663,11335085273068789245,66.89229,286.0047,0.353071123362
7,0.581,18.783,0.823,10.576,15.89537,049+12,12.451,11352994118461802549,17.67577,285.04994,0.617765128613
8,0.399,12.621,1.767,8.573,16.44397,049+12,9.566,11389110876411353493,2.28065,286.38107,0.609069347382
9,0.684,14.668,0.651,2.124,16.09803,049+12,10.84,11407125274920965985,3.26962,286.49619,0.833347320557
0,1.952,12.518,1.94,50.976,-2.82786,034-12,9.725,12883531896512523144,1.00255,293.16442,0.492736726999
1,0.64,15.866,0.781,9.151,-3.53098,034-12,11.248,12937557499854337788,5.06926,293.54778,0.981719076633
2,0.337,18.179,0.432,11.648,-4.13247,034-12,14.682,12955501529619583518,2.44965,292.97806,0.298937857151
3,1.097,12.163,1.637,30.589,-4.03046,034-12,9.765,12955519121805649859,1.00236,293.24617,0.306282967329
4,1.812,12.471,1.933,76.301,-4.58793,034-12,9.459,12973480743756904735,1.98973,292.86083,0.824683964252
5,0.652,16.061,0.528,4.856,-4.36664,034-12,13.002,12973498335942953979,1.7222,293.00155,0.403354108334
6,0.465,19.898,0.462,31.223,-2.79838,034-12,15.018,12973691849989961355,5.06402,294.86547,0.402052730322
7,0.463,14.835,0.661,44.853,-3.47997,034-12,12.438,12991653471941282711,1.16917,294.66779,0.419556230307
8,1.11,15.192,1.069,85.511,-5.30452,034-12,10.647,13063570328490396994,5.57279,293.86021,0.667109072208
0,0.42,13.192,1.704,7.111,28.81366,064+00,10.924,11228177558476863721,1.10141,296.75913,0.313099503517
1,0.695,14.728,0.967,1.191,28.07692,064+00,10.744,11264171171123543288,4.17049,296.71626,0.888194322586
2,0.49,15.895,2.374,17.001,26.88196,064+00,11.117,11300112007214033425,10.61056,296.12172,0.777515649796
3,0.484,15.706,1.738,10.492,27.54956,064+00,13.592,11300164783771260329,1.14127,296.70491,0.412668973207
4,0.76,14.81,1.751,1.907,27.60151,064+00,10.964,11300182375956454945,4.74067,296.7659,0.99744874239
5,0.887,15.552,1.786,15.474,27.91562,064+00,10.793,11300217560328606885,9.12892,297.21607,0.92304712534
6,0.713,14.848,1.302,6.769,28.13323,064+00,10.534,11300235152514662176,5.37129,297.27476,0.995860993862
7,0.417,15.565,1.367,6.092,27.73615,064+00,13.116,11318214366654673389,1.59821,297.25943,0.838036179543
8,0.641,14.988,1.926,7.424,28.32856,064+00,10.322,11318284735396378540,8.32683,298.06486,0.993243873119
